"ID","SOA","score","predicted","SOA70","SOA110","SOA150","SOA230","block1","cape_score","Perspective","Stimulus_Type","Measurement","Score","Measurement_ownership","Measurement_agency","Measurement_location","fit","lwr","upr"
"LUCEST03",110,13,13.7454037846577,0,1,0,0,59,24,"Third Person","Synchronous","ownership",3.555555556,1,0,0,2.50980392155881,2.34549111561782,2.67411672749981
"LUCEST03",110,13,13.7454037846577,0,1,0,0,59,24,"Third Person","Synchronous","location",5.75,0,0,1,2.50980392155881,2.34549111561782,2.67411672749981
"LUCEST03",110,13,13.7454037846577,0,1,0,0,59,24,"Third Person","Synchronous","agency",3.5,0,1,0,2.50980392155881,2.34549111561782,2.67411672749981
"LUCEST03",110,13,13.7454037846577,0,1,0,0,59,24,"Third Person","Asynchronous","ownership",3.111111111,1,0,0,2.50980392155881,2.34549111561782,2.67411672749981
"LUCEST03",110,13,13.7454037846577,0,1,0,0,59,24,"Third Person","Asynchronous","location",3.25,0,0,1,2.50980392155881,2.34549111561782,2.67411672749981
"LUCEST03",110,13,13.7454037846577,0,1,0,0,59,24,"Third Person","Asynchronous","agency",4,0,1,0,2.50980392155881,2.34549111561782,2.67411672749981
"LUCEST03",150,14,14.0966642888594,0,0,1,0,59,24,"First Person","Synchronous","ownership",3.888888889,1,0,0,2.83932461870587,2.67501181276487,3.00363742464687
"LUCEST03",150,14,14.0966642888594,0,0,1,0,59,24,"First Person","Synchronous","location",6,0,0,1,2.83932461870587,2.67501181276487,3.00363742464687
"LUCEST03",150,14,14.0966642888594,0,0,1,0,59,24,"First Person","Synchronous","agency",5,0,1,0,2.83932461870587,2.67501181276487,3.00363742464687
"LUCEST03",150,14,14.0966642888594,0,0,1,0,59,24,"First Person","Asynchronous","ownership",4.111111111,1,0,0,2.83932461870587,2.67501181276487,3.00363742464687
"LUCEST03",150,14,14.0966642888594,0,0,1,0,59,24,"First Person","Asynchronous","location",5,0,0,1,2.83932461870587,2.67501181276487,3.00363742464687
"LUCEST03",150,14,14.0966642888594,0,0,1,0,59,24,"First Person","Asynchronous","agency",5,0,1,0,2.83932461870587,2.67501181276487,3.00363742464687
"LUCEST03",150,14,14.0966642888594,0,0,1,0,59,24,"Third Person","Synchronous","ownership",3.555555556,1,0,0,2.50980392155881,2.34549111561782,2.67411672749981
"LUCEST03",150,14,14.0966642888594,0,0,1,0,59,24,"Third Person","Synchronous","location",5.75,0,0,1,2.50980392155881,2.34549111561782,2.67411672749981
"LUCEST03",150,14,14.0966642888594,0,0,1,0,59,24,"Third Person","Synchronous","agency",3.5,0,1,0,2.50980392155881,2.34549111561782,2.67411672749981
"LUCEST03",150,14,14.0966642888594,0,0,1,0,59,24,"Third Person","Asynchronous","ownership",3.111111111,1,0,0,2.50980392155881,2.34549111561782,2.67411672749981
"LUCEST03",150,14,14.0966642888594,0,0,1,0,59,24,"Third Person","Asynchronous","location",3.25,0,0,1,2.50980392155881,2.34549111561782,2.67411672749981
"LUCEST03",150,14,14.0966642888594,0,0,1,0,59,24,"Third Person","Asynchronous","agency",4,0,1,0,2.50980392155881,2.34549111561782,2.67411672749981
"LUCEST03",230,14,14.7991852972628,0,0,0,1,59,24,"First Person","Synchronous","ownership",3.888888889,1,0,0,2.83932461870587,2.67501181276487,3.00363742464687
"LUCEST03",230,14,14.7991852972628,0,0,0,1,59,24,"First Person","Synchronous","location",6,0,0,1,2.83932461870587,2.67501181276487,3.00363742464687
"LUCEST03",230,14,14.7991852972628,0,0,0,1,59,24,"First Person","Synchronous","agency",5,0,1,0,2.83932461870587,2.67501181276487,3.00363742464687
"LUCEST03",230,14,14.7991852972628,0,0,0,1,59,24,"First Person","Asynchronous","ownership",4.111111111,1,0,0,2.83932461870587,2.67501181276487,3.00363742464687
"LUCEST03",230,14,14.7991852972628,0,0,0,1,59,24,"First Person","Asynchronous","location",5,0,0,1,2.83932461870587,2.67501181276487,3.00363742464687
"LUCEST03",230,14,14.7991852972628,0,0,0,1,59,24,"First Person","Asynchronous","agency",5,0,1,0,2.83932461870587,2.67501181276487,3.00363742464687
"LUCEST03",230,14,14.7991852972628,0,0,0,1,59,24,"Third Person","Synchronous","ownership",3.555555556,1,0,0,2.50980392155881,2.34549111561782,2.67411672749981
"LUCEST03",230,14,14.7991852972628,0,0,0,1,59,24,"Third Person","Synchronous","location",5.75,0,0,1,2.50980392155881,2.34549111561782,2.67411672749981
"LUCEST03",230,14,14.7991852972628,0,0,0,1,59,24,"Third Person","Synchronous","agency",3.5,0,1,0,2.50980392155881,2.34549111561782,2.67411672749981
"LUCEST03",230,14,14.7991852972628,0,0,0,1,59,24,"Third Person","Asynchronous","ownership",3.111111111,1,0,0,2.50980392155881,2.34549111561782,2.67411672749981
"LUCEST03",230,14,14.7991852972628,0,0,0,1,59,24,"Third Person","Asynchronous","location",3.25,0,0,1,2.50980392155881,2.34549111561782,2.67411672749981
"LUCEST03",230,14,14.7991852972628,0,0,0,1,59,24,"Third Person","Asynchronous","agency",4,0,1,0,2.50980392155881,2.34549111561782,2.67411672749981
"LUCEST03",70,14,13.394143280456,1,0,0,0,59,24,"First Person","Synchronous","ownership",3.888888889,1,0,0,2.83932461870587,2.55472649048186,3.12392274692989
"LUCEST03",70,14,13.394143280456,1,0,0,0,59,24,"First Person","Synchronous","location",6,0,0,1,2.83932461870587,2.55472649048186,3.12392274692989
"LUCEST03",70,14,13.394143280456,1,0,0,0,59,24,"First Person","Synchronous","agency",5,0,1,0,2.83932461870587,2.55472649048186,3.12392274692989
"LUCEST03",70,14,13.394143280456,1,0,0,0,59,24,"First Person","Asynchronous","ownership",4.111111111,1,0,0,2.83932461870587,2.55472649048186,3.12392274692989
"LUCEST03",70,14,13.394143280456,1,0,0,0,59,24,"First Person","Asynchronous","location",5,0,0,1,2.83932461870587,2.55472649048186,3.12392274692989
"LUCEST03",70,14,13.394143280456,1,0,0,0,59,24,"First Person","Asynchronous","agency",5,0,1,0,2.83932461870587,2.55472649048186,3.12392274692989
"LUCEST03",70,14,13.394143280456,1,0,0,0,59,24,"Third Person","Synchronous","ownership",3.555555556,1,0,0,2.50980392155881,2.2252057933348,2.79440204978283
"LUCEST03",70,14,13.394143280456,1,0,0,0,59,24,"Third Person","Synchronous","location",5.75,0,0,1,2.50980392155881,2.2252057933348,2.79440204978283
"LUCEST03",70,14,13.394143280456,1,0,0,0,59,24,"Third Person","Synchronous","agency",3.5,0,1,0,2.50980392155881,2.2252057933348,2.79440204978283
"LUCEST03",70,14,13.394143280456,1,0,0,0,59,24,"Third Person","Asynchronous","ownership",3.111111111,1,0,0,2.50980392155881,2.2252057933348,2.79440204978283
"LUCEST03",70,14,13.394143280456,1,0,0,0,59,24,"Third Person","Asynchronous","location",3.25,0,0,1,2.50980392155881,2.2252057933348,2.79440204978283
"LUCEST03",70,14,13.394143280456,1,0,0,0,59,24,"Third Person","Asynchronous","agency",4,0,1,0,2.50980392155881,2.2252057933348,2.79440204978283
"cecsim01",110,17,16.2920222995935,0,1,0,0,70,20,"First Person","Synchronous","ownership",4.444444444,1,0,0,2.83932461870587,2.67501181276487,3.00363742464687
"cecsim01",110,17,16.2920222995935,0,1,0,0,70,20,"First Person","Synchronous","location",5,0,0,1,2.83932461870587,2.67501181276487,3.00363742464687
"cecsim01",110,17,16.2920222995935,0,1,0,0,70,20,"First Person","Synchronous","agency",4,0,1,0,2.83932461870587,2.67501181276487,3.00363742464687
"cecsim01",110,17,16.2920222995935,0,1,0,0,70,20,"First Person","Asynchronous","ownership",4.222222222,1,0,0,2.83932461870587,2.67501181276487,3.00363742464687
"cecsim01",110,17,16.2920222995935,0,1,0,0,70,20,"First Person","Asynchronous","location",5.25,0,0,1,2.83932461870587,2.67501181276487,3.00363742464687
"cecsim01",110,17,16.2920222995935,0,1,0,0,70,20,"First Person","Asynchronous","agency",5,0,1,0,2.83932461870587,2.67501181276487,3.00363742464687
"cecsim01",110,17,16.2920222995935,0,1,0,0,70,20,"Third Person","Synchronous","ownership",3.333333333,1,0,0,2.50980392155881,2.34549111561782,2.67411672749981
